Timeline Event	Stakeholder	Stakeholder Role	Secondary Role
WHO Public Health Emergency declared	Private sector healthcare providers	public health and medical	
WHO Public Health Emergency declared	Ministry of Agriculture or Livestock	governance and policy	public health and medical
WHO Public Health Emergency declared	Ministry of Environment	governance and policy	
WHO Public Health Emergency declared	Veterinary care providers	public health and medical	
WHO Public Health Emergency declared	Ministry of Commerce	governance and policy	
WHO Public Health Emergency declared	Regional and local law enforcement	safety and security	
WHO Public Health Emergency declared	Member States (non-affected)	public health and medical; humanitarian aid	
WHO Public Health Emergency declared	Local NGOs	public health and medical; humanitarian aid	
WHO Public Health Emergency declared	International NGOs	public health and medical; humanitarian aid	
WHO Public Health Emergency declared	World Organisation for Animal Health (OIE)	public health and medical	
WHO Public Health Emergency declared	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
WHO Public Health Emergency declared	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
WHO Public Health Emergency declared	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
WHO Public Health Emergency declared	World Bank Group (WBG)	humanitarian aid	
WHO Public Health Emergency declared	World Customs Organization (WCO)	governance and policy	
WHO Public Health Emergency declared	United Nations Department of Public Information (UNDPI)	governance and policy	
WHO Public Health Emergency declared	World Food Programme (WFP)	humanitarian aid	
WHO Public Health Emergency declared	United Nations Department for Safety and Security (UNDSS)	safety and security	
WHO Public Health Emergency declared	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
WHO Public Health Emergency declared	UN General Assembly (UNGA)	governance and policy	
WHO Public Health Emergency declared	National and regional militaries	safety and security	
WHO Public Health Emergency declared	International Criminal Police Organization (INTERPOL)	safety and security	
WHO Public Health Emergency declared	"GAVI, the Vaccine Alliance"	public health and medical	
WHO Public Health Emergency declared	Coalition for Epidemic Preparedness Innovations (CEPI)	public health and medical	humanitarian aid
WHO Public Health Emergency declared	Sabin Vaccine Institute	public health and medical	public health and medical
WHO Public Health Emergency declared	Laboratory professionals	public health and medical	
Response and recovery	World Health Organization (WHO)	public health and medical	humanitarian aid
Response and recovery	Ministry of Health	governance and policy	public health and medical
Response and recovery	Public sector healthcare providers	public health and medical	
Response and recovery	Private sector healthcare providers	public health and medical	safety and security
Response and recovery	Ministry of Agriculture or Livestock	governance and policy	
Response and recovery	Ministry of Environment	governance and policy	
Response and recovery	UN Office of Counter-Terrorism (OCT)	governance and policy	
Response and recovery	Veterinary care providers	public health and medical	
Response and recovery	Ministry of Commerce	governance and policy	
Response and recovery	Regional and local law enforcement	safety and security	
Response and recovery	Member States (non-affected)	public health and medical; humanitarian aid	safety and security
Response and recovery	Local NGOs	public health and medical; humanitarian aid	
Response and recovery	International Criminal Police Organization (INTERPOL)	safety and security	governance and policy
Response and recovery	Counter-Terrorism Implementation Task Force (CTITF)	governance and policy	
Response and recovery	International NGOs	public health and medical; humanitarian aid	
Response and recovery	World Organisation for Animal Health (OIE)	public health and medical	
Response and recovery	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
Response and recovery	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
Response and recovery	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
Response and recovery	World Bank Group (WBG)	humanitarian aid	
Response and recovery	World Customs Organization (WCO)	governance and policy	
Response and recovery	United Nations Department of Public Information (UNDPI)	governance and policy	
Response and recovery	World Food Programme (WFP)	humanitarian aid	
Response and recovery	United Nations Department for Safety and Security (UNDSS)	safety and security	
Response and recovery	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
Response and recovery	"GAVI, the Vaccine Alliance"	public health and medical	
Response and recovery	Coalition for Epidemic Preparedness Innovations (CEPI)	public health and medical	
Response and recovery	Sabin Vaccine Institute	public health and medical	
Response and recovery	Pharmaceutical Companies	public health and medical	
Response and recovery	Telecommunications Companies	humanitarian aid	
Response and recovery	Global Health Security Alliance Private Sector Round Table (GHSA PSRT)	public health and medical; humanitarian aid	
Response and recovery	United Nations High Commissioner for Refugees (UNHCR)	governance and policy; humanitarian aid	
Response and recovery	International Organization For Migration (IOM)	humanitarian aid	
Response and recovery	International Maritime Organization (IMO)	governance and policy	
Response and recovery	International Civil Aviation Organization (ICAO)	governance and policy	
Response and recovery	UN General Assembly (UNGA)	governance and policy	
Response and recovery	National and regional militaries	safety and security	
Response and recovery	United Nations Children's Fund (UNICEF)	humanitarian aid	public health and medical
Response and recovery	Laboratory professionals	public health and medical	
Confirmation of deliberate use	World Health Organization (WHO)	public health and medical	humanitarian aid
Confirmation of deliberate use	Ministry of Health	governance and policy	public health and medical
Confirmation of deliberate use	Public sector healthcare providers	public health and medical	
Confirmation of deliberate use	Private sector healthcare providers	public health and medical	safety and security
Confirmation of deliberate use	Ministry of Agriculture or Livestock	governance and policy	safety and security
Confirmation of deliberate use	Ministry of Environment	governance and policy	
Confirmation of deliberate use	Counter-Terrorism Implementation Task Force (CTITF)	governance and policy	
Confirmation of deliberate use	UN Office of Counter-Terrorism (OCT)	governance and policy	
Confirmation of deliberate use	Veterinary care providers	public health and medical	
Confirmation of deliberate use	Ministry of Commerce	governance and policy	
Confirmation of deliberate use	Regional and local law enforcement	safety and security	
Confirmation of deliberate use	Member States (non-affected)	public health and medical; humanitarian aid	governance and policy
Confirmation of deliberate use	Local NGOs	public health and medical; humanitarian aid	
Confirmation of deliberate use	International NGOs	public health and medical; humanitarian aid	
Confirmation of deliberate use	World Organisation for Animal Health (OIE)	public health and medical	
Confirmation of deliberate use	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
Confirmation of deliberate use	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
Confirmation of deliberate use	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
Confirmation of deliberate use	World Bank Group (WBG)	humanitarian aid	
Confirmation of deliberate use	World Customs Organization (WCO)	governance and policy	
Confirmation of deliberate use	United Nations Department of Public Information (UNDPI)	governance and policy	
Confirmation of deliberate use	World Food Programme (WFP)	humanitarian aid	
Confirmation of deliberate use	United Nations Department for Safety and Security (UNDSS)	safety and security	
Confirmation of deliberate use	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
Confirmation of deliberate use	"GAVI, the Vaccine Alliance"	public health and medical	
Confirmation of deliberate use	Coalition for Epidemic Preparedness Innovations (CEPI)	public health and medical	
Confirmation of deliberate use	Sabin Vaccine Institute	public health and medical	
Confirmation of deliberate use	Pharmaceutical Companies	public health and medical	
Confirmation of deliberate use	Telecommunications Companies	humanitarian aid	
Confirmation of deliberate use	Global Health Security Alliance Private Sector Round Table (GHSA PSRT)	public health and medical; humanitarian aid	
Confirmation of deliberate use	United Nations High Commissioner for Refugees (UNHCR)	governance and policy; humanitarian aid	
Confirmation of deliberate use	International Organization For Migration (IOM)	humanitarian aid	
Confirmation of deliberate use	International Criminal Police Organization (INTERPOL)	safety and security	
Confirmation of deliberate use	International Maritime Organization (IMO)	governance and policy	
Confirmation of deliberate use	International Civil Aviation Organization (ICAO)	governance and policy	
Confirmation of deliberate use	UN General Assembly (UNGA)	governance and policy	
Confirmation of deliberate use	National and regional militaries	safety and security	humanitarian aid
Confirmation of deliberate use	United Nations Children's Fund (UNICEF)	humanitarian aid	public health and medical
Confirmation of deliberate use	Laboratory professionals	public health and medical	
Ongoing response and recovery	World Health Organization (WHO)	public health and medical	humanitarian aid
Ongoing response and recovery	Ministry of Health	governance and policy	safety and security
Ongoing response and recovery	Public sector healthcare providers	public health and medical	public health and medical
Ongoing response and recovery	Private sector healthcare providers	public health and medical	
Ongoing response and recovery	UN Office of Counter-Terrorism (OCT)	governance and policy	
Ongoing response and recovery	Ministry of Agriculture or Livestock	governance and policy	
Ongoing response and recovery	Ministry of Environment	governance and policy	safety and security
Ongoing response and recovery	Veterinary care providers	public health and medical	
Ongoing response and recovery	Ministry of Commerce	governance and policy	
Ongoing response and recovery	Counter-Terrorism Implementation Task Force (CTITF)	governance and policy	
Ongoing response and recovery	Regional and local law enforcement	safety and security	
Ongoing response and recovery	Member States (non-affected)	public health and medical; humanitarian aid	governance and policy
Ongoing response and recovery	Local NGOs	public health and medical; humanitarian aid	
Ongoing response and recovery	International NGOs	public health and medical; humanitarian aid	
Ongoing response and recovery	World Organisation for Animal Health (OIE)	public health and medical	
Ongoing response and recovery	Joint United Nations Environment Programme (UNEP)/OCHA Environment Unit (JEU)	governance and policy	humanitarian aid
Ongoing response and recovery	United Nations Office for the Coordination of Humanitarian Affairs (OCHA)	humanitarian aid; governance and policy	
Ongoing response and recovery	Food and Agriculture Organization of the United Nations (FAO)	humanitarian aid	
Ongoing response and recovery	International Criminal Police Organization (INTERPOL)	safety and security	
Ongoing response and recovery	World Bank Group (WBG)	humanitarian aid	
Ongoing response and recovery	World Customs Organization (WCO)	governance and policy	
Ongoing response and recovery	United Nations Department of Public Information (UNDPI)	governance and policy	
Ongoing response and recovery	World Food Programme (WFP)	humanitarian aid	
Ongoing response and recovery	United Nations Department for Safety and Security (UNDSS)	safety and security	
Ongoing response and recovery	United Nations International Strategy for Disaster Reduction (UNISDR)	governance and policy	
Ongoing response and recovery	"GAVI, the Vaccine Alliance"	public health and medical	
Ongoing response and recovery	Coalition for Epidemic Preparedness Innovations (CEPI)	public health and medical	
Ongoing response and recovery	Sabin Vaccine Institute	public health and medical	
Ongoing response and recovery	Pharmaceutical Companies	public health and medical	
Ongoing response and recovery	Telecommunications Companies	humanitarian aid	
Ongoing response and recovery	Global Health Security Alliance Private Sector Round Table (GHSA PSRT)	public health and medical; humanitarian aid	
Ongoing response and recovery	United Nations High Commissioner for Refugees (UNHCR)	governance and policy; humanitarian aid	
Ongoing response and recovery	International Organization For Migration (IOM)	humanitarian aid	
Ongoing response and recovery	International Maritime Organization (IMO)	governance and policy	
Ongoing response and recovery	UN General Assembly (UNGA)	governance and policy	
Ongoing response and recovery	International Civil Aviation Organization (ICAO)	governance and policy	
Ongoing response and recovery	National and regional militaries	safety and security	
Ongoing response and recovery	Laboratory professionals	public health and medical	
Ongoing response and recovery	United Nations Children's Fund (UNICEF)	humanitarian aid	
